candidate_id,filename,score,skills
sample_resume_14.pdf,sample_resume_14.pdf,0.5428,
sample_resume_8.pdf,sample_resume_8.pdf,0.4523,
sample_resume_2.pdf,sample_resume_2.pdf,0.4082,
sample_resume_17.pdf,sample_resume_17.pdf,0.4065,
sample_resume_18.pdf,sample_resume_18.pdf,0.3892,
sample_resume_13.pdf,sample_resume_13.pdf,0.3288,
sample_resume_10.pdf,sample_resume_10.pdf,0.3241,
sample_resume_19.pdf,sample_resume_19.pdf,0.3234,
sample_resume_3.pdf,sample_resume_3.pdf,0.3171,
sample_resume_4.pdf,sample_resume_4.pdf,0.3091,
sample_resume_16.pdf,sample_resume_16.pdf,0.3089,
sample_resume_7.pdf,sample_resume_7.pdf,0.3078,
sample_resume_15.pdf,sample_resume_15.pdf,0.303,
sample_resume_6.pdf,sample_resume_6.pdf,0.3,
sample_resume_12.pdf,sample_resume_12.pdf,0.2878,
sample_resume_5.pdf,sample_resume_5.pdf,0.243,
sample_resume_9.pdf,sample_resume_9.pdf,0.2339,
sample_resume_1.pdf,sample_resume_1.pdf,0.2324,
sample_resume_11.pdf,sample_resume_11.pdf,0.1954,
